,Unnamed: 0,avgHigh,avgLow,date,index,max,min,recHigh,recLow
223,223,82.0,67.0,11-Aug,223,81.0,71.0,97.0,55.0
224,224,82.0,67.0,12-Aug,224,85.0,71.0,92.0,50.0
225,225,82.0,67.0,13-Aug,225,83.0,67.0,93.0,51.0
226,226,81.0,67.0,14-Aug,226,88.0,67.0,94.0,53.0
227,227,81.0,67.0,15-Aug,227,92.0,73.0,94.0,54.0
228,228,81.0,67.0,16-Aug,228,93.0,76.0,91.0,52.0
229,229,81.0,66.0,17-Aug,229,95.0,78.0,93.0,50.0
230,230,81.0,66.0,18-Aug,230,90.0,73.0,91.0,54.0
231,231,81.0,66.0,19-Aug,231,87.0,77.0,94.0,56.0
232,232,81.0,66.0,20-Aug,232,86.0,77.0,95.0,53.0
233,233,80.0,66.0,21-Aug,233,87.0,71.0,95.0,50.0
234,234,80.0,65.0,22-Aug,234,86.0,69.0,96.0,55.0
235,235,80.0,65.0,23-Aug,235,85.0,70.0,92.0,53.0
236,236,80.0,65.0,24-Aug,236,87.0,73.0,92.0,53.0
237,237,80.0,65.0,25-Aug,237,90.0,73.0,94.0,52.0
238,238,79.0,65.0,26-Aug,238,85.0,67.0,100.0,54.0
239,239,79.0,64.0,27-Aug,239,82.0,67.0,99.0,55.0
240,240,79.0,64.0,28-Aug,240,82.0,63.0,98.0,47.0
241,241,79.0,64.0,29-Aug,241,87.0,67.0,95.0,48.0
242,242,79.0,63.0,30-Aug,242,90.0,72.0,99.0,48.0
243,243,78.0,63.0,31-Aug,243,91.0,76.0,98.0,50.0
244,244,78.0,63.0,1-Sep,244,90.0,76.0,92.0,53.0
245,245,78.0,63.0,2-Sep,245,91.0,74.0,99.0,52.0
246,246,78.0,62.0,3-Sep,246,93.0,74.0,91.0,52.0
247,247,77.0,62.0,4-Sep,247,85.0,72.0,93.0,54.0
248,248,77.0,62.0,5-Sep,248,83.0,67.0,93.0,52.0
249,249,77.0,61.0,6-Sep,249,87.0,65.0,94.0,48.0
250,250,77.0,61.0,7-Sep,250,92.0,70.0,92.0,47.0
251,251,76.0,61.0,8-Sep,251,97.0,76.0,86.0,50.0
252,252,76.0,60.0,9-Sep,252,90.0,76.0,90.0,48.0
253,253,76.0,60.0,10-Sep,253,79.0,70.0,98.0,45.0
254,254,75.0,60.0,11-Sep,254,81.0,66.0,96.0,49.0
255,255,75.0,59.0,12-Sep,255,79.0,69.0,89.0,47.0
256,256,75.0,59.0,13-Sep,256,80.0,62.0,92.0,45.0
257,257,75.0,59.0,14-Sep,257,77.0,59.0,87.0,41.0
258,258,74.0,58.0,15-Sep,258,84.0,62.0,88.0,45.0
259,259,74.0,58.0,16-Sep,259,88.0,66.0,91.0,40.0
260,260,74.0,58.0,17-Sep,260,89.0,68.0,90.0,42.0
261,261,73.0,57.0,18-Sep,261,87.0,68.0,88.0,42.0
